gender,customer_type,age,type_of_travel,flight_distance,inflight_wifi_service,departure/arrival_time_convenient,ease_of_online_booking,food_and_drink,inflight_entertainment,baggage_handling,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,satisfaction
Male,Loyal Customer,44,Business Travel,290,2,2,2,4,5,5,3,0,0,Satisfied
Male,Disloyal Customer,32,Business Travel,290,1,1,1,2,2,5,2,0,0,Dissatisfied
Female,Loyal Customer,48,Business Travel,290,0,0,0,5,5,5,5,0,0,Satisfied
Male,Disloyal Customer,27,Business Travel,290,2,3,4,4,4,4,4,0,0,Neutral
Female,Loyal Customer,42,Business Travel,290,0,0,4,4,4,4,4,0,0,Neutral
Female,Loyal Customer,46,Business Travel,290,4,4,4,5,4,4,4,0,0,Satisfied
Female,Loyal Customer,61,Personal Travel,290,5,4,5,5,1,5,5,0,2,Satisfied
Female,Disloyal Customer,48,Business Travel,290,5,5,5,4,4,5,4,123,105,Satisfied
Female,Disloyal Customer,38,Business Travel,290,4,4,4,2,2,4,2,0,0,Satisfied
Male,Disloyal Customer,48,Business Travel,290,4,4,4,2,2,4,2,0,1,Dissatisfied
Male,Disloyal Customer,62,Business Travel,290,2,2,2,2,2,3,2,0,0,Dissatisfied
Male,Loyal Customer,47,Business Travel,290,2,1,2,5,4,4,4,49,35,Satisfied
Female,Disloyal Customer,41,Business Travel,291,2,2,2,5,5,4,5,0,0,Dissatisfied
Female,Loyal Customer,54,Business Travel,292,2,5,5,3,2,2,4,117,105,Dissatisfied
Male,Loyal Customer,68,Personal Travel,292,4,4,5,5,4,4,3,0,0,Dissatisfied
Male,Loyal Customer,53,Business Travel,292,1,3,3,1,1,1,4,59,57,Dissatisfied
Female,Loyal Customer,43,Personal Travel,292,3,5,2,5,5,5,5,0,0,Dissatisfied
Female,Loyal Customer,58,Business Travel,292,5,5,5,1,5,5,5,0,0,Satisfied
Male,Loyal Customer,45,Business Travel,292,5,5,5,3,4,4,4,0,0,Satisfied
Female,Loyal Customer,63,Business Travel,292,2,2,2,4,5,5,5,0,0,Satisfied
Female,Loyal Customer,48,Business Travel,292,2,2,4,4,4,4,4,0,0,Neutral
Male,Loyal Customer,36,Business Travel,293,2,4,4,5,2,2,3,0,0,Dissatisfied
Male,Loyal Customer,56,Business Travel,293,0,0,0,2,3,3,4,4,0,Satisfied
Female,Disloyal Customer,57,Business Travel,293,3,3,3,2,2,4,2,1,0,Dissatisfied
Female,Disloyal Customer,25,Business Travel,293,1,0,1,4,4,5,4,0,0,Unknown
Male,Loyal Customer,48,Business Travel,293,2,2,2,3,5,5,3,52,59,Satisfied
Female,Loyal Customer,42,Personal Travel,293,1,5,1,4,2,2,4,0,0,Dissatisfied
Female,Disloyal Customer,26,Business Travel,293,0,5,0,5,5,4,5,50,51,Satisfied
Male,Disloyal Customer,37,Business Travel,293,2,2,2,3,3,5,3,63,57,Dissatisfied
Female,Loyal Customer,42,Personal Travel,293,1,4,1,2,4,4,3,0,0,Dissatisfied
Male,Loyal Customer,54,Business Travel,293,5,5,5,2,4,4,3,20,21,Satisfied
Male,Loyal Customer,61,Business Travel,293,0,0,0,4,4,4,5,0,0,Satisfied
Female,Loyal Customer,52,Business Travel,293,4,4,4,2,5,5,3,0,0,Satisfied
Female,Disloyal Customer,36,Business Travel,293,2,2,2,2,2,5,2,0,0,Dissatisfied
Male,Disloyal Customer,22,Business Travel,293,0,5,1,5,5,5,5,12,3,Satisfied
Male,Loyal Customer,60,Business Travel,293,1,1,1,4,5,5,4,0,0,Satisfied
Female,Loyal Customer,57,Business Travel,293,4,4,4,4,5,5,4,0,0,Satisfied
Female,Loyal Customer,41,Business Travel,293,1,1,4,2,4,4,4,0,0,Satisfied
Male,Loyal Customer,58,Business Travel,293,3,3,4,2,5,5,3,0,0,Satisfied
Female,Loyal Customer,25,Business Travel,293,3,1,1,3,3,4,3,0,0,Unknown
Male,Disloyal Customer,42,Business Travel,293,4,3,3,5,5,4,5,0,0,Dissatisfied
Male,Loyal Customer,50,Business Travel,293,3,3,3,2,5,5,5,0,0,Satisfied
Female,Loyal Customer,49,Business Travel,293,4,4,5,4,5,5,5,2,0,Satisfied
Female,Loyal Customer,65,Business Travel,293,2,1,4,4,4,4,4,0,0,Neutral
Male,Loyal Customer,55,Business Travel,293,2,2,2,5,5,5,3,0,0,Satisfied
Female,Loyal Customer,39,Business Travel,293,2,2,2,3,5,5,5,0,0,Satisfied
Male,Loyal Customer,51,Business Travel,293,5,5,5,5,5,5,3,25,36,Satisfied
Female,Loyal Customer,58,Business Travel,293,4,4,4,5,4,4,5,1,0,Satisfied
Female,Disloyal Customer,40,Business Travel,293,4,4,4,2,2,3,2,25,27,Dissatisfied
Female,Disloyal Customer,25,Business Travel,293,4,5,4,2,2,5,2,0,0,Unknown
Male,Disloyal Customer,37,Business Travel,294,4,5,4,4,4,4,4,0,0,Neutral
Female,Disloyal Customer,22,Business Travel,294,5,0,5,2,2,5,2,0,0,Satisfied
Female,Loyal Customer,57,Business Travel,294,1,1,1,5,4,4,3,0,1,Satisfied
Male,Loyal Customer,58,Business Travel,294,4,4,4,1,4,4,5,0,2,Satisfied
Male,Disloyal Customer,26,Business Travel,294,2,4,3,5,5,4,5,0,0,Dissatisfied
Female,Disloyal Customer,58,Business Travel,294,5,4,4,5,5,5,5,0,0,Satisfied
Female,Disloyal Customer,40,Business Travel,294,4,4,4,4,4,4,4,0,0,Dissatisfied
Female,Loyal Customer,38,Business Travel,294,3,3,2,1,4,4,2,2,0,Satisfied
Female,Loyal Customer,41,Business Travel,294,5,4,5,2,4,4,3,24,23,Satisfied
Female,Loyal Customer,47,Business Travel,294,2,2,2,4,5,5,5,0,0,Satisfied
Female,Loyal Customer,36,Personal Travel,294,2,1,5,4,5,5,3,0,0,Dissatisfied
Female,Disloyal Customer,38,Business Travel,294,3,3,4,4,4,4,4,0,0,Neutral
Female,Disloyal Customer,58,Business Travel,294,2,2,4,4,4,4,4,0,0,Neutral
Male,Loyal Customer,45,Business Travel,295,0,0,0,3,1,1,4,29,28,Satisfied
Female,Loyal Customer,61,Business Travel,295,2,2,3,3,4,4,3,0,0,Satisfied
Female,Loyal Customer,41,Personal Travel,295,1,3,1,2,4,4,4,2,0,Dissatisfied
Female,Loyal Customer,49,Business Travel,295,3,3,4,4,4,4,4,0,0,Neutral
Female,Loyal Customer,50,Business Travel,295,0,0,0,2,4,4,4,0,0,Satisfied
Female,Loyal Customer,51,Business Travel,295,2,4,4,4,4,4,4,0,0,Neutral
Female,Disloyal Customer,49,Business Travel,295,2,2,2,2,2,4,2,0,0,Dissatisfied
Male,Loyal Customer,49,Business Travel,295,0,0,0,3,1,1,4,0,0,Satisfied
Male,Loyal Customer,59,Business Travel,295,3,3,3,5,5,5,5,9,0,Satisfied
Male,Disloyal Customer,38,Business Travel,295,3,3,3,4,4,5,4,24,17,Satisfied
Female,Loyal Customer,51,Business Travel,295,2,2,2,2,4,4,3,0,0,Satisfied
Female,Disloyal Customer,48,Business Travel,295,4,4,4,2,2,4,2,0,0,Dissatisfied
Male,Loyal Customer,59,Business Travel,295,0,0,0,4,2,3,4,60,51,Satisfied
Female,Loyal Customer,38,Business Travel,295,3,3,3,5,4,4,4,0,0,Satisfied
Male,Loyal Customer,43,Business Travel,295,4,4,4,2,5,5,5,3,0,Satisfied
Male,Loyal Customer,36,Business Travel,295,4,4,4,4,4,4,4,0,0,Neutral
Female,Loyal Customer,50,Business Travel,295,5,4,5,4,4,4,5,0,0,Satisfied
Female,Loyal Customer,44,Business Travel,295,5,5,4,2,4,4,5,38,28,Satisfied
Female,Loyal Customer,53,Business Travel,295,5,5,5,4,4,4,3,0,0,Satisfied
Female,Disloyal Customer,48,Business Travel,295,4,4,4,4,4,4,4,0,0,Neutral
Female,Loyal Customer,39,Business Travel,295,1,1,1,2,4,4,3,0,4,Satisfied
Female,Loyal Customer,57,Business Travel,295,2,2,2,3,5,5,5,0,0,Satisfied
Female,Loyal Customer,55,Business Travel,295,0,0,0,5,1,1,5,10,15,Satisfied
Female,Disloyal Customer,26,Business Travel,295,5,0,5,5,5,4,5,0,10,Satisfied
Female,Loyal Customer,37,Business Travel,295,4,4,4,2,4,4,4,0,0,Dissatisfied
Male,Loyal Customer,41,Business Travel,296,0,0,0,2,4,4,3,0,0,Satisfied
Female,Loyal Customer,52,Business Travel,296,3,3,4,4,5,5,4,25,23,Satisfied
Male,Disloyal Customer,42,Business Travel,296,3,3,3,4,4,4,4,13,0,Dissatisfied
Male,Loyal Customer,70,Business Travel,296,4,1,4,4,4,4,4,0,0,Neutral
Male,Disloyal Customer,22,Business Travel,296,4,4,4,4,4,4,4,0,0,Neutral
Female,Disloyal Customer,43,Business Travel,296,4,4,4,2,2,3,2,0,0,Dissatisfied
Male,Disloyal Customer,37,Business Travel,296,3,3,3,4,4,5,4,0,0,Dissatisfied
Female,Loyal Customer,59,Business Travel,296,5,5,5,5,5,5,4,5,12,Satisfied
Male,Loyal Customer,55,Business Travel,296,3,4,3,5,4,4,5,27,19,Satisfied
Male,Disloyal Customer,39,Business Travel,296,5,5,5,3,3,4,3,0,0,Satisfied
Female,Disloyal Customer,25,Business Travel,296,5,0,5,2,2,5,2,0,0,Unknown
Female,Disloyal Customer,37,Business Travel,296,3,3,3,3,3,4,3,23,16,Dissatisfied
Male,Loyal Customer,52,Business Travel,296,5,5,5,5,5,5,5,19,6,Satisfied
Male,Loyal Customer,49,Business Travel,296,4,4,4,4,5,5,3,0,0,Satisfied
Female,Loyal Customer,43,Business Travel,296,1,1,1,4,4,5,4,0,0,Unknown
Female,Loyal Customer,52,Business Travel,296,5,5,5,4,5,5,5,0,6,Satisfied
Male,Disloyal Customer,27,Business Travel,296,2,2,2,2,2,5,2,8,18,Dissatisfied
Male,Loyal Customer,39,Business Travel,296,4,1,3,1,4,4,3,0,4,Dissatisfied
Female,Loyal Customer,55,Business Travel,296,2,2,2,5,4,5,5,172,168,Satisfied
Female,Loyal Customer,48,Business Travel,296,1,1,1,2,5,5,4,15,25,Satisfied
Female,Loyal Customer,60,Business Travel,296,2,2,2,3,4,4,5,0,0,Satisfied
Female,Loyal Customer,43,Personal Travel,296,1,1,1,2,2,4,2,38,42,Unknown
Female,Loyal Customer,42,Business Travel,296,2,2,2,2,5,5,4,4,1,Satisfied
Male,Disloyal Customer,26,Business Travel,296,2,5,4,4,4,4,4,0,0,Neutral
Female,Disloyal Customer,21,Business Travel,296,0,0,0,3,3,5,3,40,34,Satisfied
Female,Loyal Customer,50,Business Travel,296,1,1,1,4,5,5,3,7,0,Satisfied
Female,Disloyal Customer,21,Business Travel,296,4,2,4,4,4,4,4,0,0,Neutral
Female,Loyal Customer,59,Business Travel,296,1,1,3,4,5,5,4,0,0,Satisfied
Female,Loyal Customer,12,Personal Travel,296,3,3,3,4,4,4,4,0,0,Dissatisfied
Female,Disloyal Customer,36,Business Travel,296,3,3,3,3,3,5,3,33,25,Dissatisfied
Female,Loyal Customer,45,Business Travel,296,2,2,2,3,4,4,4,0,0,Satisfied
Male,Loyal Customer,63,Business Travel,296,5,5,5,5,4,4,5,24,13,Satisfied
Male,Disloyal Customer,38,Business Travel,296,3,3,3,3,3,4,3,0,0,Dissatisfied
Male,Loyal Customer,57,Business Travel,296,1,5,5,2,1,1,3,30,29,Dissatisfied
Male,Loyal Customer,61,Business Travel,296,0,0,0,2,3,3,3,69,88,Satisfied
Male,Loyal Customer,69,Personal Travel,296,4,5,4,4,5,5,4,6,0,Dissatisfied
Male,Loyal Customer,43,Personal Travel,296,4,5,4,3,3,4,3,0,0,Unknown
Female,Loyal Customer,52,Business Travel,296,4,4,4,4,4,5,5,151,225,Satisfied
Male,Loyal Customer,30,Business Travel,337,2,2,4,4,2,4,2,10,0,Dissatisfied
Male,Loyal Customer,38,Business Travel,296,4,1,1,2,4,4,2,8,0,Dissatisfied
Male,Loyal Customer,42,Business Travel,296,1,1,3,2,5,5,3,8,0,Satisfied
Female,Loyal Customer,40,Business Travel,296,3,3,3,5,4,4,5,0,0,Satisfied
Male,Loyal Customer,66,Personal Travel,296,2,4,2,3,3,3,3,0,0,Dissatisfied
Male,Loyal Customer,38,Personal Travel,296,3,3,3,3,2,3,4,240,224,Dissatisfied
Male,Loyal Customer,16,Business Travel,296,4,4,1,4,4,4,4,0,0,Satisfied
Male,Loyal Customer,53,Business Travel,296,3,3,3,5,5,5,3,0,0,Satisfied
Female,Loyal Customer,48,Business Travel,296,4,2,4,5,4,4,3,0,0,Dissatisfied
Female,Disloyal Customer,39,Business Travel,296,3,3,3,3,3,3,3,0,0,Dissatisfied
Female,Loyal Customer,46,Business Travel,296,2,5,5,4,2,2,2,95,82,Dissatisfied
Female,Loyal Customer,41,Business Travel,296,1,5,4,4,4,4,4,0,0,Neutral
Female,Disloyal Customer,25,Business Travel,296,2,4,1,5,5,4,5,0,0,Unknown
Female,Disloyal Customer,22,Business Travel,296,2,1,1,2,2,3,2,81,82,Dissatisfied
Male,Disloyal Customer,37,Business Travel,296,4,4,4,4,4,4,4,0,0,Neutral
Male,Loyal Customer,35,Business Travel,296,3,3,3,4,4,4,4,0,0,Satisfied
Female,Loyal Customer,46,Business Travel,296,1,1,1,3,4,4,5,50,60,Satisfied
Female,Loyal Customer,49,Business Travel,296,3,4,4,1,3,3,2,0,0,Dissatisfied
Male,Disloyal Customer,65,Business Travel,296,2,2,2,4,4,5,4,20,20,Satisfied
Female,Disloyal Customer,26,Business Travel,296,3,0,3,3,3,4,3,0,14,Dissatisfied
Male,Disloyal Customer,20,Business Travel,296,5,4,5,4,5,5,4,0,0,Satisfied
Female,Loyal Customer,26,Personal Travel,296,1,3,5,5,5,4,5,24,0,Dissatisfied
Female,Loyal Customer,45,Business Travel,296,3,3,3,4,5,5,4,0,0,Satisfied
Female,Loyal Customer,60,Business Travel,296,5,5,4,4,4,4,4,0,0,Neutral
Female,Loyal Customer,33,Business Travel,296,2,2,2,3,5,5,4,2,0,Satisfied
Female,Loyal Customer,43,Business Travel,296,2,2,2,4,4,5,4,0,0,Unknown
Male,Loyal Customer,46,Business Travel,296,3,3,3,3,4,4,3,0,0,Satisfied
Male,Loyal Customer,39,Business Travel,296,3,3,3,4,4,5,4,143,224,Satisfied
Female,Disloyal Customer,27,Business Travel,296,2,2,2,4,4,3,4,33,26,Dissatisfied
Female,Loyal Customer,42,Business Travel,296,1,1,1,4,5,5,4,0,0,Satisfied
Male,Loyal Customer,47,Business Travel,296,1,1,1,4,4,4,4,4,0,Satisfied
Female,Loyal Customer,47,Business Travel,296,2,1,1,5,2,2,4,47,38,Dissatisfied
Female,Disloyal Customer,49,Business Travel,296,4,4,4,4,4,4,4,12,17,Satisfied
Male,Disloyal Customer,21,Business Travel,296,5,1,5,3,3,4,3,69,69,Satisfied
Female,Disloyal Customer,58,Business Travel,296,4,4,4,4,4,4,4,0,0,Neutral
Male,Disloyal Customer,27,Business Travel,296,1,1,1,5,5,5,5,0,0,Dissatisfied
Female,Loyal Customer,55,Business Travel,296,1,1,1,5,5,5,5,0,0,Satisfied
Male,Disloyal Customer,20,Business Travel,296,5,5,5,3,5,5,3,0,0,Satisfied
Female,Loyal Customer,58,Business Travel,296,3,3,4,4,4,4,4,0,0,Neutral
Female,Disloyal Customer,38,Business Travel,297,3,3,3,5,5,3,5,0,2,Dissatisfied
Male,Loyal Customer,69,Business Travel,297,1,1,1,4,4,4,5,0,0,Satisfied
Female,Loyal Customer,45,Business Travel,297,0,0,0,3,5,5,4,0,0,Satisfied
Female,Loyal Customer,37,Personal Travel,297,2,5,2,4,2,1,4,0,0,Dissatisfied
Male,Loyal Customer,51,Business Travel,297,3,3,3,5,4,4,4,49,34,Satisfied
Female,Loyal Customer,40,Business Travel,297,3,3,3,4,5,5,5,21,20,Satisfied
Female,Disloyal Customer,34,Business Travel,297,1,1,1,2,2,5,2,13,3,Dissatisfied
Female,Loyal Customer,25,Business Travel,297,1,5,4,4,4,4,4,0,0,Unknown
Female,Loyal Customer,56,Business Travel,297,1,1,1,3,3,3,5,0,0,Satisfied
Female,Loyal Customer,50,Business Travel,297,5,5,5,5,3,3,3,81,94,Satisfied
Male,Disloyal Customer,40,Business Travel,297,2,3,3,2,2,4,2,0,0,Dissatisfied
Female,Loyal Customer,42,Business Travel,297,0,0,0,1,5,5,2,0,0,Satisfied
Female,Loyal Customer,55,Business Travel,297,2,5,2,5,5,5,3,0,0,Satisfied
Female,Loyal Customer,58,Business Travel,297,4,3,3,3,4,4,3,0,1,Dissatisfied
Female,Loyal Customer,41,Business Travel,297,2,3,4,4,4,4,4,0,0,Neutral
Female,Loyal Customer,54,Business Travel,297,3,3,3,4,4,4,5,0,0,Satisfied
Male,Loyal Customer,46,Business Travel,297,3,3,3,5,3,3,4,20,32,Dissatisfied
Male,Loyal Customer,45,Business Travel,297,1,1,1,4,5,5,3,0,5,Satisfied
Female,Loyal Customer,49,Business Travel,297,5,5,5,5,5,5,5,0,0,Satisfied
Male,Loyal Customer,64,Personal Travel,297,2,4,2,5,1,1,2,0,0,Dissatisfied
Male,Disloyal Customer,39,Business Travel,297,2,2,2,4,4,5,4,0,0,Dissatisfied
Male,Loyal Customer,56,Business Travel,297,0,0,0,5,5,5,5,0,0,Satisfied
Female,Loyal Customer,68,Business Travel,297,5,5,5,3,4,4,2,54,67,Satisfied
Male,Loyal Customer,42,Business Travel,297,0,0,0,5,2,2,5,19,21,Satisfied
Female,Loyal Customer,48,Business Travel,297,3,3,3,2,4,4,5,3,0,Satisfied
Female,Loyal Customer,62,Business Travel,297,3,5,5,2,3,3,4,50,39,Dissatisfied
Female,Loyal Customer,35,Business Travel,298,0,0,4,4,4,4,4,0,0,Neutral
Male,Loyal Customer,52,Business Travel,298,0,0,0,2,4,4,5,0,0,Satisfied
Male,Loyal Customer,38,Personal Travel,298,1,4,1,4,5,5,3,0,0,Dissatisfied
Male,Loyal Customer,44,Business Travel,299,3,3,3,3,4,4,5,7,4,Satisfied
Male,Loyal Customer,50,Personal Travel,299,1,5,1,3,5,5,3,0,0,Dissatisfied
Male,Loyal Customer,55,Business Travel,299,4,4,4,4,4,4,4,11,8,Satisfied
Female,Loyal Customer,49,Business Travel,299,0,0,0,3,1,1,5,0,4,Satisfied
Female,Disloyal Customer,80,Business Travel,299,2,2,2,3,2,1,4,8,23,Dissatisfied
Male,Loyal Customer,39,Business Travel,299,5,5,3,3,5,5,2,0,21,Satisfied
Male,Loyal Customer,56,Business Travel,299,1,1,1,3,4,4,5,10,27,Satisfied
Male,Loyal Customer,41,Business Travel,299,2,5,5,2,2,2,3,0,0,Dissatisfied
Male,Loyal Customer,38,Business Travel,299,3,3,4,4,4,4,4,0,0,Neutral
Female,Disloyal Customer,39,Business Travel,299,2,2,2,2,2,4,2,0,0,Dissatisfied
Male,Loyal Customer,30,Business Travel,337,5,5,4,4,5,1,5,10,0,Satisfied
Male,Loyal Customer,53,Business Travel,299,5,5,5,5,4,4,3,0,6,Satisfied
Female,Disloyal Customer,20,Business Travel,299,4,3,4,3,5,5,3,0,5,Satisfied
Female,Loyal Customer,15,Personal Travel,299,1,4,1,5,5,5,5,18,14,Dissatisfied
Female,Loyal Customer,46,Business Travel,299,3,3,3,4,5,5,5,0,18,Satisfied
Male,Loyal Customer,39,Business Travel,299,3,3,3,2,5,5,5,15,7,Satisfied
Female,Disloyal Customer,40,Business Travel,299,3,3,3,5,5,4,5,10,9,Dissatisfied
Female,Loyal Customer,41,Business Travel,299,1,2,4,4,4,4,4,0,0,Neutral
Female,Loyal Customer,25,Business Travel,299,4,3,3,4,4,3,4,0,0,Unknown
Male,Loyal Customer,51,Business Travel,299,5,5,5,5,5,5,4,14,2,Satisfied
Male,Disloyal Customer,26,Business Travel,299,2,0,2,3,3,4,3,0,8,Dissatisfied
Female,Disloyal Customer,39,Business Travel,299,4,4,4,2,2,2,2,89,107,Dissatisfied
Female,Loyal Customer,36,Business Travel,300,3,1,4,4,4,4,4,0,0,Neutral
Female,Loyal Customer,41,Business Travel,300,4,4,4,4,4,4,4,0,0,Neutral
Female,Loyal Customer,55,Business Travel,300,5,5,3,4,4,4,3,0,0,Satisfied
Male,Loyal Customer,41,Business Travel,300,3,2,2,4,3,3,4,0,0,Dissatisfied
Female,Loyal Customer,58,Business Travel,300,4,4,3,3,5,5,5,0,0,Satisfied
Male,Loyal Customer,37,Business Travel,300,5,5,5,4,5,5,3,6,0,Satisfied
Female,Disloyal Customer,39,Business Travel,300,2,2,2,5,5,5,5,38,30,Dissatisfied
Female,Disloyal Customer,39,Business Travel,300,4,4,4,4,4,4,4,0,0,Neutral
Female,Loyal Customer,41,Business Travel,300,1,2,4,4,4,4,4,0,0,Neutral
Female,Loyal Customer,32,Business Travel,300,0,0,0,4,4,5,4,0,1,Satisfied
Female,Loyal Customer,35,Business Travel,300,0,0,4,4,4,4,4,0,0,Neutral
Female,Disloyal Customer,39,Business Travel,300,3,3,3,4,4,3,4,23,39,Dissatisfied
Male,Loyal Customer,53,Business Travel,300,0,0,4,4,4,4,4,0,0,Neutral
Male,Loyal Customer,74,Business Travel,300,3,3,3,3,4,4,2,0,0,Satisfied
Female,Disloyal Customer,40,Business Travel,300,3,3,4,4,4,4,4,0,0,Neutral
Female,Loyal Customer,47,Business Travel,300,1,2,2,1,1,1,2,0,0,Dissatisfied
Male,Loyal Customer,58,Business Travel,300,0,0,0,5,3,3,4,0,0,Satisfied
Male,Loyal Customer,33,Business Travel,300,1,1,1,4,4,1,4,0,0,Satisfied
Male,Loyal Customer,34,Business Travel,300,0,0,0,5,1,3,5,159,148,Satisfied
Female,Loyal Customer,62,Business Travel,300,2,2,2,2,4,4,4,0,0,Satisfied
Male,Loyal Customer,60,Personal Travel,300,1,1,1,4,4,4,2,2,0,Dissatisfied
Male,Loyal Customer,41,Business Travel,300,1,1,5,3,5,5,2,0,0,Satisfied
Male,Loyal Customer,35,Business Travel,300,4,4,4,4,4,4,4,0,0,Neutral
Female,Loyal Customer,49,Business Travel,301,4,4,4,2,4,4,3,0,0,Satisfied
Male,Loyal Customer,33,Business Travel,301,3,2,5,3,3,2,3,0,0,Dissatisfied
Female,Disloyal Customer,42,Business Travel,301,4,4,4,5,5,4,5,0,0,Satisfied
Female,Loyal Customer,51,Business Travel,301,5,5,5,4,5,5,5,1,0,Satisfied
Female,Loyal Customer,50,Business Travel,301,3,1,3,3,4,4,3,0,0,Satisfied
Female,Loyal Customer,48,Business Travel,301,5,5,5,2,4,4,3,0,0,Satisfied
Male,Loyal Customer,57,Business Travel,301,4,4,4,2,4,4,5,0,0,Satisfied
Female,Loyal Customer,58,Business Travel,301,3,1,4,3,3,3,4,23,12,Dissatisfied
Female,Loyal Customer,42,Business Travel,301,0,0,0,3,2,2,4,0,0,Satisfied
Female,Disloyal Customer,34,Business Travel,301,1,1,1,2,2,5,2,0,0,Dissatisfied
Male,Disloyal Customer,41,Business Travel,301,5,5,5,2,2,5,2,0,0,Satisfied
Male,Loyal Customer,27,Business Travel,301,5,5,3,4,4,5,4,22,24,Satisfied
Male,Loyal Customer,59,Business Travel,301,5,2,5,4,5,5,4,2,5,Satisfied
Male,Disloyal Customer,32,Business Travel,301,1,1,4,4,4,4,4,0,0,Neutral
Male,Loyal Customer,64,Business Travel,301,1,1,1,4,5,5,4,111,113,Satisfied
Male,Loyal Customer,35,Business Travel,301,3,3,4,4,4,4,4,0,0,Neutral
Female,Loyal Customer,37,Business Travel,301,3,4,4,4,4,4,4,0,0,Neutral
Male,Loyal Customer,14,Personal Travel,301,3,3,4,3,3,3,3,0,0,Dissatisfied
Female,Loyal Customer,38,Business Travel,301,3,5,4,4,4,4,4,0,0,Neutral
Male,Loyal Customer,41,Business Travel,301,2,1,1,3,2,2,2,6,21,Dissatisfied
Male,Disloyal Customer,37,Business Travel,301,5,5,5,4,4,5,4,0,0,Satisfied
Female,Disloyal Customer,34,Business Travel,301,2,2,2,4,4,5,4,2,0,Dissatisfied
Female,Loyal Customer,53,Business Travel,301,3,3,4,5,5,5,4,0,0,Satisfied
Male,Loyal Customer,15,Personal Travel,301,3,4,3,4,4,5,4,0,0,Dissatisfied
Male,Loyal Customer,55,Business Travel,301,3,3,3,2,4,4,4,0,0,Satisfied
Male,Loyal Customer,34,Business Travel,301,4,4,4,4,5,5,5,0,0,Satisfied
Male,Loyal Customer,35,Business Travel,301,5,5,4,4,4,4,4,0,0,Neutral
Female,Loyal Customer,53,Business Travel,302,2,1,1,5,2,2,2,2,0,Dissatisfied
Male,Loyal Customer,48,Business Travel,302,0,0,0,4,2,4,4,18,10,Satisfied
Male,Loyal Customer,39,Business Travel,302,0,0,0,2,3,3,5,39,48,Satisfied
Female,Loyal Customer,46,Business Travel,302,5,5,5,2,5,5,4,50,42,Satisfied
Male,Loyal Customer,68,Business Travel,302,0,0,0,1,4,4,4,6,0,Satisfied
Male,Loyal Customer,53,Business Travel,302,1,1,1,4,4,4,5,68,64,Satisfied
Female,Disloyal Customer,39,Business Travel,302,5,5,5,5,5,5,5,0,0,Satisfied
Male,Loyal Customer,60,Business Travel,302,1,1,1,2,5,5,5,36,27,Satisfied
Female,Disloyal Customer,25,Business Travel,302,3,0,3,3,3,5,3,0,0,Unknown
Male,Loyal Customer,59,Business Travel,302,3,3,3,5,4,4,2,0,0,Satisfied
Male,Loyal Customer,53,Business Travel,302,3,3,4,4,4,4,4,0,0,Neutral
Female,Loyal Customer,54,Business Travel,302,2,1,1,5,2,2,3,88,87,Dissatisfied
Female,Disloyal Customer,40,Business Travel,302,1,1,1,2,2,3,2,0,7,Dissatisfied
Male,Loyal Customer,59,Business Travel,302,4,4,4,5,4,4,4,15,8,Satisfied
Female,Loyal Customer,40,Business Travel,302,4,4,4,3,5,5,4,22,11,Satisfied
Male,Loyal Customer,56,Business Travel,302,2,2,2,3,5,5,5,0,0,Satisfied
Female,Loyal Customer,46,Business Travel,302,3,3,3,4,5,5,2,0,4,Satisfied
Male,Loyal Customer,32,Business Travel,302,1,1,1,4,4,4,4,21,6,Satisfied
Male,Loyal Customer,36,Business Travel,302,3,3,3,1,4,4,2,0,0,Satisfied
Male,Disloyal Customer,60,Personal Travel,302,2,4,4,4,4,4,4,0,0,Neutral
Female,Disloyal Customer,32,Business Travel,302,3,3,3,3,3,5,3,0,0,Dissatisfied
Male,Loyal Customer,48,Business Travel,302,0,0,0,3,2,2,4,0,2,Satisfied
Female,Disloyal Customer,41,Business Travel,302,3,3,3,2,2,4,2,0,0,Dissatisfied
Male,Loyal Customer,52,Business Travel,302,4,4,4,4,4,4,3,9,15,Satisfied
Female,Disloyal Customer,40,Business Travel,302,2,2,2,4,4,4,4,0,0,Dissatisfied
Male,Loyal Customer,60,Business Travel,302,2,2,4,2,4,4,4,33,19,Satisfied
Female,Loyal Customer,41,Business Travel,302,4,4,4,2,4,4,4,30,64,Satisfied
Female,Loyal Customer,66,Business Travel,302,5,5,5,4,4,4,2,0,0,Satisfied
Male,Disloyal Customer,37,Business Travel,302,2,2,4,4,4,4,4,0,0,Neutral
Female,Loyal Customer,49,Business Travel,302,2,2,2,5,5,5,5,0,0,Satisfied
Female,Disloyal Customer,38,Business Travel,302,5,5,5,4,4,4,4,0,0,Satisfied
Female,Loyal Customer,36,Personal Travel,302,4,4,4,2,3,3,4,0,0,Dissatisfied
Female,Disloyal Customer,35,Business Travel,302,4,4,4,5,5,5,5,0,0,Dissatisfied
Male,Disloyal Customer,40,Business Travel,302,4,4,4,5,5,4,5,17,10,Satisfied
Male,Loyal Customer,44,Business Travel,302,5,5,5,3,5,5,4,0,0,Satisfied
Male,Loyal Customer,55,Business Travel,302,2,5,5,2,2,2,3,5,5,Dissatisfied
Female,Loyal Customer,56,Business Travel,302,3,3,4,2,5,5,5,4,0,Satisfied
